t,p,lnp
0,	70,-13.97
1,	64,-14.07
2,	60,-14.14
3,	49,-14.38
5,	27,-15.12
6,	17,-15.81
7,	14,-16.17
9,	11,-16.73
10,	9.3,-17.28
11,	8.7,-17.58
12,	8.5,-17.71
13,	8.2,-17.93
14,	8,-18.11
15,	7.9,-18.22
18,	7.8,-18.34
