t,p,lnp
0,	7.5,	-16.10
1,	7.9,	-16.05
2,	8.6,	-15.96
3,	9.6,	-15.85
4,	11,	-15.72
6,	13,	-15.55
7,	15,	-15.41
9,	17,	-15.28
12,	20,	-15.12
15,	23,	-14.98
18,	25,	-14.90
21,	28,	-14.78
24,	30,	-14.71
27,	32,	-14.65
30,	34,	-14.59
33,	36,	-14.53
36,	39,	-14.45
39,	41,	-14.40
41,	42,	-14.38
44,	44,	-14.33
47,	46,	-14.29
50,	48,	-14.24
53,	50,	-14.20
57,	53,	-14.14
62,	56,	-14.09
66,	59,	-14.04
69,	61,	-14.00
71,	62,	-13.99
75,	64,	-13.96
81,	68,	-13.89
83,	70,	-13.87
