t,p,lnp
0,	70,-13.97
1,	66,-14.04
2,	63,-14.09
3,	47,-14.43
4,	35,-14.78
5,	25,-15.22
6,	18,-15.72
7,	14,-16.17
8,	12,-16.50
10,	9.1,-17.37
11,	8.4,-17.78
13,	7.7,-18.47
14,	7.4,-19.03
16,	7.3,-19.32
18,	7.2,-19.72
