t,p,lnp
0,	7.8,	-16.06
1,	8.3,	-16.00
2,	9,	-15.92
3,	10,	-15.81
4,	11,	-15.72
5,	13,	-15.55
6,	15,	-15.41
7,	16,	-15.34
9,	18,	-15.22
11,	19,	-15.17
13,	22,	-15.02
15,	23,	-14.98
17,	25,	-14.90
20,	27,	-14.82
23,	29,	-14.75
26,	32,	-14.65
29,	34,	-14.59
33,	37,	-14.50
36,	39,	-14.45
39,	41,	-14.40
42,	43,	-14.35
44,	45,	-14.31
48,	48,	-14.24
53,	51,	-14.18
58,	54,	-14.13
62,	57,	-14.07
66,	60,	-14.02
70,	63,	-13.97
73,	65,	-13.94
76,	67,	-13.91
82,	70,	-13.87
