t,u
314.114,15.8932
315.115,15.881
316.115,15.8695
317.115,15.8583
318.114,15.8465
319.115,15.8345
320.114,15.8235
321.114,15.812
322.115,15.7997
323.115,15.7879
324.115,15.7761
325.114,15.7657
326.114,15.754
327.114,15.7421
328.115,15.7306
329.115,15.7185
330.114,15.7077
331.114,15.6956
332.115,15.6842
333.114,15.6717
334.114,15.6597
335.115,15.647
336.115,15.6353
337.114,15.623
338.114,15.6109
339.114,15.5991
340.114,15.5872
341.114,15.5751
342.115,15.564
343.115,15.5518
344.114,15.5397
345.114,15.5268
346.114,15.5146
347.115,15.5023
348.114,15.49
349.114,15.4783
350.114,15.4666
351.114,15.4537
352.115,15.443
353.115,15.4314
354.115,15.4204
355.114,15.409
356.114,15.3972
357.115,15.3853
358.115,15.3744
359.114,15.3641
360.114,15.3508
361.115,15.3403
362.115,15.3291
363.115,15.3182
364.114,15.3082
365.114,15.2977
366.114,15.2852
367.114,15.2757
368.115,15.2645
369.115,15.2546
370.115,15.2433
371.114,15.2316
372.115,15.2201
373.114,15.2093
374.115,15.1966
375.115,15.1871
376.115,15.1756
377.114,15.165
378.114,15.1533
379.114,15.142
380.114,15.1311
381.114,15.1193
382.115,15.1081
383.114,15.0975
384.114,15.0868
385.114,15.0757
386.114,15.0654
387.115,15.0538
388.117,15.0416
389.114,15.0324
390.114,15.0229
391.114,15.0149
392.115,15.0045
393.115,14.9933
394.115,14.9826
395.115,14.9718
396.115,14.9605
397.115,14.9499
398.114,14.9403
399.114,14.9307
400.114,14.9186
401.115,14.9078
402.115,14.898
403.115,14.8866
404.115,14.8776
405.115,14.867
406.115,14.8572
407.115,14.8468
408.115,14.8362
409.114,14.8263
410.114,14.8152
411.114,14.8049
412.115,14.7954
413.115,14.7856
414.114,14.775
415.114,14.765
416.114,14.7559
417.114,14.7455
418.114,14.7365
419.114,14.7256
420.114,14.7167
421.114,14.7077
422.115,14.7001
423.115,14.6899
424.115,14.6798
425.115,14.6705
426.115,14.6598
427.115,14.6497
428.115,14.6382
429.114,14.6283
430.114,14.6174
431.114,14.6098
432.114,14.6004
433.114,14.591
434.114,14.5806
435.114,14.5712
436.114,14.5627
437.114,14.5514
438.114,14.5435
439.115,14.5358
440.115,14.5258
441.115,14.5172
442.115,14.5086
443.114,14.5007
444.114,14.4929
445.114,14.4851
446.115,14.4789
447.114,14.4687
448.115,14.4579
449.115,14.4519
450.115,14.4454
451.114,14.4396
452.115,14.4315
453.115,14.4242
454.115,14.4157
455.115,14.4072
456.115,14.3993
457.115,14.3949
458.115,14.3897
459.115,14.387
460.115,14.3886
461.115,14.3859
462.115,14.3792
463.115,14.3777
464.115,14.3719
465.115,14.3639
466.115,14.3595
467.115,14.3549
468.115,14.3504
469.115,14.3432
470.114,14.3377
471.114,14.3313
472.114,14.3253
473.114,14.3202
474.114,14.3134
475.114,14.3071
476.114,14.2988
477.114,14.2941
478.114,14.2884
479.114,14.2848
480.114,14.2802
481.114,14.2716
482.115,14.2647
483.114,14.2595
484.114,14.2512
485.115,14.2445
486.115,14.237
487.115,14.2295
488.115,14.2216
489.115,14.2148
490.115,14.2059
491.115,14.1983
492.114,14.1891
493.114,14.1806
494.114,14.1721
495.114,14.1637
496.114,14.155
497.114,14.1472
498.115,14.1386
499.114,14.1291
500.114,14.1196
501.114,14.1103
502.115,14.1013
503.115,14.0924
504.114,14.0852
505.115,14.0767
506.114,14.0682
507.115,14.0596
508.115,14.0506
509.115,14.0428
510.114,14.0359
511.114,14.0261
512.114,14.0166
513.114,14.0086
514.114,13.9983
515.115,13.9894
516.115,13.9807
517.115,13.9717
518.114,13.964
519.114,13.9534
520.114,13.9438
521.114,13.9346
522.115,13.9254
523.115,13.9159
