t,u
0,21.6883
0.998,21.6777
1.999,21.6662
2.998,21.6514
3.999,21.6346
4.998,21.616
5.999,21.5945
6.998,21.5737
7.999,21.5505
8.998,21.5267
9.998,21.5026
10.998,21.4785
11.999,21.4527
12.998,21.4276
13.998,21.4015
14.999,21.3762
15.999,21.3492
16.998,21.3223
17.998,21.295
18.999,21.2687
19.999,21.2404
20.998,21.2124
21.999,21.1847
22.999,21.1573
23.998,21.1292
24.999,21.1005
25.998,21.0735
26.999,21.0453
27.998,21.0166
28.999,20.9887
29.998,20.9605
30.999,20.9318
31.999,20.9031
32.998,20.8749
33.999,20.8471
34.998,20.8183
35.998,20.7902
36.999,20.7615
37.999,20.7333
38.998,20.7051
39.999,20.6767
40.998,20.6491
41.999,20.6201
42.998,20.5922
43.999,20.5634
44.999,20.536
45.999,20.5068
46.998,20.4787
47.998,20.4514
48.998,20.4229
49.999,20.3947
50.998,20.3669
51.998,20.3389
52.998,20.3103
53.999,20.2827
54.998,20.2542
55.999,20.2265
56.999,20.1987
57.999,20.1706
58.999,20.1437
59.998,20.1158
60.998,20.0878
61.998,20.0597
62.998,20.0323
63.998,20.0043
64.999,19.9767
65.998,19.9493
66.999,19.9217
67.999,19.8953
68.999,19.8671
69.999,19.8396
70.999,19.8118
71.999,19.785
72.999,19.7579
73.999,19.7311
74.998,19.7034
75.998,19.6768
76.999,19.6497
77.999,19.6224
78.999,19.5953
79.998,19.5692
80.998,19.5416
81.998,19.516
82.998,19.4886
83.998,19.4617
84.998,19.4352
85.999,19.4089
86.998,19.3817
87.999,19.3555
88.998,19.3278
89.999,19.303
90.998,19.2757
91.999,19.2494
92.998,19.2237
93.999,19.1969
94.999,19.1713
95.999,19.1443
96.998,19.1183
97.999,19.0926
98.998,19.0657
99.999,19.0399
100.998,19.0137
101.998,18.9883
102.999,18.962
103.999,18.9365
104.998,18.9105
105.999,18.8843
106.998,18.8586
107.999,18.8332
108.998,18.8081
109.998,18.7822
110.999,18.7566
111.998,18.7313
112.999,18.7054
113.999,18.6796
114.998,18.6542
115.999,18.6293
116.998,18.6038
117.999,18.5787
118.999,18.554
119.998,18.5283
120.999,18.5033
121.998,18.4783
122.999,18.453
123.998,18.4278
124.998,18.4028
125.999,18.3787
126.999,18.3536
127.999,18.3287
128.998,18.3038
129.998,18.2796
130.999,18.2552
131.998,18.2297
132.998,18.2053
133.999,18.1812
134.999,18.1559
135.998,18.1312
136.998,18.1065
137.998,18.0814
138.999,18.0573
139.999,18.033
140.999,18.0085
141.999,17.9835
142.999,17.9598
143.999,17.9348
144.999,17.9101
145.998,17.8862
146.998,17.8618
147.998,17.8383
148.999,17.8151
149.998,17.791
150.999,17.7671
151.999,17.7432
152.998,17.7192
153.999,17.6955
154.998,17.6715
155.998,17.6474
156.999,17.6244
157.998,17.6003
158.999,17.5767
159.999,17.5526
161.001,17.5289
161.999,17.505
162.998,17.4819
163.998,17.459
164.999,17.4357
165.998,17.4123
166.998,17.3895
167.999,17.3662
168.999,17.3425
169.998,17.3193
170.999,17.2971
171.998,17.2745
172.998,17.2507
173.999,17.2282
174.998,17.2051
175.998,17.1822
176.998,17.1596
177.998,17.1365
178.998,17.1139
179.999,17.09
180.999,17.0672
181.998,17.0453
182.998,17.0219
183.998,16.9994
184.998,16.9766
185.998,16.9541
186.999,16.931
187.999,16.9086
188.998,16.8858
189.999,16.8632
190.999,16.8419
191.998,16.8186
192.999,16.7972
193.998,16.7746
194.998,16.7516
195.999,16.7289
196.998,16.7059
197.998,16.6849
198.999,16.6636
199.998,16.6414
200.998,16.6192
201.998,16.5968
202.999,16.5743
203.999,16.5521
204.998,16.5294
205.999,16.5076
206.998,16.4857
207.999,16.4637
208.998,16.4419
209.999,16.4208
210.998,16.3981
211.999,16.3759
212.999,16.3539
213.998,16.3317
214.999,16.3102
215.998,16.2876
216.999,16.2667
217.998,16.2446
218.999,16.2234
219.999,16.2015
220.998,16.1796
221.999,16.1586
222.998,16.1385
223.998,16.1167
224.998,16.0963
225.998,16.0752
226.999,16.0537
227.998,16.033
228.998,16.0115
229.999,15.9898
230.999,15.9697
231.998,15.9482
232.998,15.9277
233.999,15.9056
234.998,15.8857
235.998,15.8635
236.999,15.8434
237.998,15.8218
238.999,15.8009
239.999,15.7802
240.999,15.7602
241.998,15.7385
242.998,15.7182
243.999,15.6978
244.999,15.6772
245.998,15.6565
246.998,15.6355
247.999,15.6149
248.999,15.595
249.998,15.5754
250.998,15.5549
251.998,15.5351
252.998,15.5151
253.999,15.4949
254.999,15.4745
255.998,15.4544
256.998,15.4345
257.998,15.4143
258.999,15.3935
259.998,15.3734
260.998,15.3524
261.999,15.3322
262.999,15.3121
263.998,15.2906
264.998,15.2707
265.999,15.2493
266.999,15.2296
267.999,15.2097
268.998,15.1906
269.998,15.1714
270.998,15.1521
271.998,15.1319
272.999,15.1116
273.998,15.0906
274.998,15.0689
275.998,15.049
276.998,15.0289
277.999,15.009
278.998,14.9901
279.999,14.9696
280.999,14.95
281.999,14.9313
283.001,14.9103
283.998,14.8938
284.999,14.8741
285.998,14.8568
286.998,14.8371
287.999,14.8169
288.998,14.7982
289.998,14.7788
290.998,14.7607
291.998,14.7407
292.998,14.7213
293.998,14.7023
294.998,14.6836
295.998,14.6646
296.998,14.6456
297.999,14.6252
298.999,14.6047
299.999,14.5862
300.998,14.5677
301.999,14.5484
302.999,14.528
303.998,14.509
304.998,14.4899
305.998,14.4717
306.998,14.4533
307.998,14.4346
308.998,14.4147
309.998,14.3969
310.998,14.3787
311.999,14.3598
312.999,14.341
313.999,14.3213
314.999,14.3031
315.999,14.2848
316.999,14.2665
317.999,14.2467
318.999,14.2278
319.999,14.2096
320.999,14.1908
321.999,14.1738
322.998,14.1556
323.998,14.1381
324.998,14.1204
325.999,14.1021
326.998,14.0843
327.998,14.0662
328.999,14.0492
329.998,14.0325
330.998,14.0145
331.999,13.9963
332.999,13.9786
333.999,13.9601
334.998,13.9425
335.998,13.924
336.999,13.9051
337.998,13.8874
338.998,13.8688
339.998,13.849
340.998,13.8295
341.998,13.8114
342.998,13.7934
344,13.7764
344.999,13.7571
345.998,13.738
346.999,13.7206
347.999,13.7021
348.999,13.6844
349.999,13.6658
350.998,13.6479
351.999,13.6298
352.999,13.6112
353.999,13.5938
354.999,13.5756
355.999,13.5581
356.998,13.5413
357.999,13.5245
358.999,13.5068
359.998,13.4891
360.998,13.4717
361.998,13.4535
362.998,13.4363
363.998,13.4193
364.998,13.4021
365.999,13.3842
366.999,13.367
367.998,13.3507
368.999,13.3315
369.999,13.315
370.999,13.297
371.999,13.2801
372.999,13.2629
373.998,13.246
374.998,13.2289
375.998,13.2128
376.999,13.1956
377.998,13.1774
378.998,13.16
379.999,13.1423
380.998,13.1271
381.999,13.1091
382.998,13.0922
383.999,13.0747
384.999,13.058
385.998,13.0422
386.999,13.0247
387.998,13.0085
388.998,12.992
389.999,12.9749
390.998,12.9583
391.999,12.9429
392.999,12.9268
393.999,12.9099
394.998,12.8937
395.999,12.8773
396.998,12.861
397.999,12.8447
398.999,12.828
399.998,12.8111
400.999,12.795
401.999,12.7777
402.999,12.7611
403.998,12.7448
405.001,12.7275
405.998,12.7093
406.999,12.6937
407.999,12.6758
408.998,12.6591
409.999,12.6428
410.998,12.6258
411.998,12.6093
412.999,12.593
413.998,12.5763
414.999,12.5592
415.998,12.5423
416.998,12.5255
417.999,12.5093
418.998,12.492
419.999,12.4752
420.998,12.4571
421.998,12.4397
422.998,12.4238
423.999,12.4074
424.998,12.39
425.998,12.3736
426.999,12.3574
427.998,12.3414
428.998,12.3249
429.999,12.3083
430.999,12.2918
431.998,12.2752
432.999,12.2592
433.999,12.243
434.998,12.2273
435.999,12.2118
436.999,12.1952
437.998,12.1798
