t,u
0,19.4862
0.972,19.523
1.907,19.5211
2.852,19.496
3.85,19.4718
4.851,19.4442
5.851,19.4145
6.851,19.3832
7.851,19.3496
8.851,19.3166
9.85,19.2822
10.851,19.2482
11.851,19.2127
12.85,19.1776
13.851,19.1412
14.851,19.1053
15.85,19.069
16.851,19.0328
17.85,18.9962
18.851,18.9604
19.85,18.923
20.851,18.8868
21.85,18.8492
22.851,18.8127
23.85,18.7764
24.85,18.74
25.85,18.7026
26.85,18.666
27.851,18.629
28.85,18.5928
29.85,18.5552
30.851,18.5194
31.851,18.4824
32.85,18.4454
33.851,18.4094
34.85,18.373
35.85,18.3372
36.85,18.3009
37.851,18.2656
38.85,18.229
39.85,18.1924
40.851,18.1569
41.85,18.12
42.851,18.0861
43.85,18.0496
44.851,18.0144
45.851,17.9793
46.851,17.9437
47.851,17.9087
48.85,17.8725
49.851,17.8376
50.85,17.802
51.85,17.7671
52.85,17.7317
53.85,17.6967
54.85,17.6616
55.851,17.6276
56.85,17.5915
57.851,17.5577
58.85,17.5228
59.85,17.4877
60.85,17.4529
61.851,17.4197
62.851,17.384
63.85,17.35
64.85,17.3164
65.85,17.2817
66.851,17.2482
67.85,17.214
68.851,17.18
69.85,17.1455
70.851,17.112
71.851,17.0787
72.851,17.0443
73.85,17.0105
74.85,16.9765
75.85,16.9429
76.851,16.9101
77.851,16.8521
78.85,16.8411
79.85,16.8157
80.851,16.783
81.851,16.732
82.851,16.7161
83.85,16.6834
84.851,16.6509
85.85,16.6181
86.851,16.5856
87.85,16.5527
88.85,16.5203
89.85,16.4878
90.85,16.4552
91.851,16.4227
92.85,16.3902
93.851,16.3576
94.85,16.3262
95.851,16.2939
96.85,16.2618
97.85,16.2306
98.85,16.1982
99.851,16.1667
100.85,16.1346
101.85,16.1037
102.851,16.071
103.85,16.0404
104.85,16.0088
105.851,15.9773
106.85,15.946
107.851,15.9146
108.851,15.884
109.85,15.853
110.85,15.8229
111.851,15.7916
112.851,15.7608
113.85,15.7299
114.85,15.6996
115.851,15.6683
116.85,15.639
117.85,15.6085
118.85,15.5774
119.851,15.5463
120.85,15.5167
121.85,15.4865
122.851,15.4561
123.85,15.4267
124.85,15.3961
125.851,15.3663
126.85,15.3363
127.851,15.3059
128.85,15.2765
129.851,15.2462
130.85,15.2169
131.851,15.1868
132.85,15.1583
133.85,15.1278
134.851,15.099
135.85,15.0696
136.85,15.0406
137.851,15.0106
138.85,14.9819
139.85,14.9529
140.851,14.9237
141.851,14.8946
142.85,14.8655
143.85,14.8367
144.85,14.8081
145.85,14.7789
146.851,14.7499
147.85,14.7215
148.851,14.6927
149.85,14.6646
150.85,14.6357
151.85,14.607
152.85,14.5797
153.851,14.5504
154.85,14.5227
155.85,14.4943
156.85,14.4663
157.851,14.4373
158.85,14.4094
159.85,14.3819
160.85,14.354
161.851,14.3253
162.85,14.2974
163.85,14.2694
164.851,14.2413
165.85,14.2148
166.85,14.1656
167.851,14.0737
168.851,14.0434
169.851,14.0149
170.851,13.9914
171.85,13.9608
172.85,13.9336
173.85,13.9044
174.851,13.8753
175.85,13.848
176.851,13.8219
177.851,13.798
178.851,13.7681
179.851,13.7372
180.851,13.7086
181.85,13.6812
182.851,13.6545
183.851,13.6262
184.85,13.6018
185.851,13.5734
186.851,13.5462
187.851,13.5175
188.85,13.4918
189.85,13.4657
190.851,13.4402
191.851,13.4118
