t,u
0,21.8361
1.049,21.8118
2.098,21.7556
3.148,21.688
4.186,21.611
5.186,21.5347
6.187,21.4575
7.187,21.3781
8.187,21.299
9.186,21.2187
10.187,21.1387
11.186,21.0589
12.187,20.9791
13.186,20.899
14.186,20.8187
15.187,20.7393
16.186,20.6609
17.187,20.5815
18.186,20.5005
19.187,20.4239
20.186,20.3463
21.187,20.268
22.186,20.1907
23.186,20.1136
24.187,20.0368
25.186,19.9605
26.187,19.8846
27.187,19.8086
28.186,19.7337
29.186,19.6588
30.187,19.5842
31.186,19.5101
32.187,19.4358
33.187,19.3617
34.186,19.2886
35.187,19.2159
36.187,19.1432
37.187,19.0712
38.186,18.9994
39.187,18.9271
40.187,18.8551
41.187,18.7842
42.187,18.7131
43.186,18.6432
44.187,18.5729
45.187,18.5026
46.186,18.4331
47.187,18.3639
48.186,18.2952
49.187,18.2265
50.186,18.1573
51.186,18.0897
52.187,18.0223
53.186,17.9545
54.187,17.8871
55.187,17.8208
56.186,17.7546
57.187,17.6885
58.187,17.6219
59.186,17.5573
60.186,17.4919
61.186,17.4273
62.187,17.3629
63.187,17.2985
64.186,17.2347
65.187,17.1711
66.186,17.1076
67.187,17.0445
68.187,16.9817
69.187,16.9193
70.186,16.8571
71.186,16.795
72.187,16.7335
73.186,16.6715
74.186,16.61
75.187,16.5499
76.187,16.4891
77.186,16.4282
78.186,16.3684
79.186,16.3083
80.187,16.2499
81.186,16.191
82.186,16.1314
83.187,16.0731
84.186,16.0136
85.186,15.9557
86.186,15.8971
87.186,15.8396
88.187,15.7823
89.187,15.7252
90.186,15.6676
91.186,15.6113
92.187,15.5559
93.186,15.4986
94.186,15.4438
95.187,15.3876
96.186,15.3315
97.186,15.2764
98.187,15.222
99.186,15.167
100.186,15.113
101.186,15.0587
102.187,15.0047
103.186,14.9506
104.186,14.8973
105.187,14.8445
106.187,14.7917
107.186,14.739
108.187,14.6869
109.186,14.6342
110.186,14.583
111.186,14.5304
112.186,14.4787
113.187,14.4271
114.186,14.3761
115.187,14.3257
116.186,14.275
117.186,14.2247
118.186,14.1736
119.187,14.1236
120.187,14.0745
121.187,14.0244
122.187,13.9744
123.186,13.9256
124.187,13.8764
125.187,13.828
126.186,13.7797
127.187,13.7079
128.186,13.6081
129.186,13.5503
130.187,13.4984
131.187,13.4465
132.187,13.3966
133.186,13.3478
134.187,13.2998
135.186,13.2523
136.186,13.2059
137.187,13.1607
138.187,13.115
139.186,13.0672
140.187,13.0199
141.186,12.9735
142.187,12.9284
143.186,12.8829
144.187,12.8379
145.187,12.793
146.187,12.7473
147.186,12.7028
148.187,12.6586
149.186,12.6141
150.186,12.5711
151.186,12.527
152.187,12.4842
153.186,12.4404
154.186,12.3972
155.187,12.3545
156.186,12.3114
157.186,12.2694
158.187,12.2272
159.186,12.1855
160.187,12.1423
161.186,12.1005
162.186,12.0587
163.187,12.0174
164.186,11.9756
165.187,11.9331
166.186,11.8918
167.187,11.8505
168.187,11.8098
169.186,11.7683
170.186,11.7279
171.187,11.6872
172.186,11.6464
173.186,11.6076
174.187,11.5666
175.186,11.5271
176.186,11.4885
177.186,11.4496
178.186,11.4102
179.186,11.3712
180.187,11.331
181.187,11.2934
182.186,11.2551
183.186,11.2172
184.186,11.1787
185.187,11.1407
