t,u
0,21.5681
1.049,21.5634
2.098,21.5601
3.099,21.5518
4.098,21.5414
5.099,21.5303
6.099,21.5189
7.098,21.5056
8.098,21.4906
9.098,21.4755
10.099,21.461
11.099,21.4439
12.098,21.4268
13.098,21.4095
14.099,21.392
15.099,21.3745
16.099,21.3563
17.098,21.3366
18.098,21.3176
19.099,21.3001
20.099,21.281
21.098,21.2613
22.099,21.2425
23.099,21.2233
24.098,21.2025
25.099,21.1823
26.098,21.1618
27.098,21.1422
28.099,21.1217
29.098,21.1011
30.099,21.0805
31.098,21.0604
32.099,21.0404
33.099,21.0197
34.098,20.9978
35.098,20.9774
36.099,20.9571
37.099,20.9367
38.099,20.916
39.098,20.8952
40.099,20.8737
41.099,20.8536
42.099,20.8325
43.098,20.8109
44.098,20.7895
45.098,20.7677
46.099,20.7467
47.099,20.7255
48.098,20.7044
49.099,20.6834
50.099,20.6624
51.099,20.6418
52.098,20.6207
53.099,20.6003
54.099,20.5793
55.099,20.5583
56.099,20.5374
57.098,20.5157
58.099,20.4955
59.098,20.4744
60.099,20.4541
61.099,20.4323
62.098,20.411
63.098,20.39
64.099,20.3692
65.098,20.3484
66.098,20.3275
67.099,20.3074
68.098,20.2857
69.099,20.2659
70.099,20.2447
71.099,20.2242
72.099,20.2036
73.098,20.1834
74.098,20.1624
75.098,20.1424
76.098,20.1218
77.098,20.1005
78.098,20.0799
79.099,20.0588
80.099,20.0336
81.099,20.0177
82.098,19.9972
83.098,19.9772
84.099,19.9577
85.099,19.9367
86.098,19.9156
87.098,19.8951
88.099,19.8748
89.099,19.8545
90.098,19.8349
91.098,19.8151
92.099,19.7949
93.099,19.7745
94.098,19.7544
95.098,19.7341
96.098,19.7142
97.099,19.6945
98.099,19.6739
99.098,19.6526
100.098,19.6333
101.098,19.6128
102.099,19.593
103.098,19.5724
104.099,19.5535
105.098,19.5326
106.099,19.5129
107.098,19.4929
108.098,19.4731
109.099,19.4527
110.098,19.4327
111.099,19.4143
112.098,19.3938
113.099,19.3736
114.098,19.3539
115.099,19.3336
116.098,19.3133
117.099,19.2944
118.098,19.2739
119.099,19.2544
120.099,19.2352
121.099,19.2157
122.098,19.1965
123.099,19.1773
124.098,19.158
125.099,19.1378
126.099,19.1191
127.098,19.0994
128.099,19.0802
129.099,19.0618
130.098,19.0386
131.099,19.0221
132.099,19.0036
133.098,18.9847
134.098,18.965
135.098,18.9453
136.099,18.9257
137.099,18.9064
138.098,18.8873
139.098,18.868
140.099,18.8487
141.098,18.8291
142.098,18.8099
143.099,18.7906
144.098,18.7713
145.098,18.751
146.099,18.7328
147.099,18.7139
148.098,18.6951
149.098,18.6763
150.099,18.6573
151.098,18.6378
152.098,18.6188
153.099,18.6001
154.099,18.5808
155.098,18.5614
156.098,18.5416
157.099,18.5228
158.099,18.5034
159.098,18.4845
160.099,18.4654
161.099,18.4459
162.099,18.4268
163.099,18.4084
164.099,18.3889
165.099,18.3705
166.099,18.3509
167.098,18.3324
168.098,18.3141
169.098,18.2955
170.098,18.2753
171.098,18.257
172.099,18.2381
173.099,18.2188
174.099,18.2007
175.099,18.1822
176.099,18.1621
177.098,18.1442
178.098,18.125
179.098,18.1053
180.098,18.0872
181.098,18.0683
182.098,18.0498
183.098,18.0307
184.098,18.0119
185.098,17.9921
186.098,17.9744
187.098,17.9553
188.098,17.9363
189.098,17.9183
190.099,17.899
191.098,17.8815
192.098,17.8632
193.099,17.8436
194.098,17.826
195.098,17.8078
196.098,17.7887
197.099,17.771
198.098,17.7534
199.098,17.7349
200.098,17.7162
201.098,17.6976
202.099,17.6803
203.098,17.6618
204.098,17.6432
205.099,17.6261
206.098,17.6083
207.099,17.5903
208.098,17.5728
209.098,17.5543
210.099,17.5364
211.098,17.5186
212.099,17.5013
213.099,17.4837
214.099,17.465
215.098,17.4472
216.098,17.4289
217.099,17.4104
218.098,17.3929
219.099,17.3747
220.098,17.3574
221.098,17.339
222.099,17.321
223.098,17.3027
224.098,17.2844
225.099,17.2664
226.098,17.2479
227.099,17.231
228.099,17.2127
229.098,17.1959
230.099,17.1778
231.098,17.1611
232.098,17.143
233.098,17.1258
234.099,17.1092
235.098,17.0909
236.098,17.0726
237.098,17.0557
238.099,17.0384
239.098,17.0203
240.098,17.0028
241.099,16.9859
242.099,16.9687
243.098,16.9513
244.099,16.934
245.098,16.916
246.099,16.8989
247.098,16.8799
248.099,16.8635
249.098,16.8455
250.099,16.829
251.099,16.8123
252.098,16.7945
253.099,16.7769
254.098,16.76
255.098,16.7425
256.099,16.7253
257.098,16.7082
258.098,16.691
259.099,16.6743
260.098,16.6563
261.099,16.6396
262.099,16.6227
263.098,16.6058
264.099,16.5891
265.099,16.5722
266.099,16.5552
267.098,16.5385
268.098,16.5219
269.099,16.5052
270.098,16.4885
271.098,16.4713
272.098,16.4545
273.099,16.4378
274.098,16.4207
275.098,16.4043
276.099,16.3879
277.099,16.3717
278.098,16.3559
279.098,16.3395
280.099,16.3227
281.098,16.3052
282.098,16.2885
283.099,16.2717
284.098,16.2547
285.098,16.2387
286.098,16.2216
287.099,16.2062
288.098,16.1893
289.098,16.1725
290.099,16.1565
291.098,16.1395
292.098,16.1239
293.099,16.1079
294.098,16.0913
295.098,16.0746
296.099,16.0594
297.099,16.0419
298.098,16.0244
299.099,16.0087
300.099,15.9917
301.098,15.9746
302.098,15.9585
303.098,15.9419
304.098,15.925
305.098,15.9082
306.098,15.8904
307.098,15.8744
308.098,15.8579
309.098,15.8423
310.099,15.8261
311.098,15.8095
312.098,15.7929
313.098,15.7764
314.098,15.7608
315.099,15.7446
316.099,15.7218
317.098,15.7078
318.098,15.6908
319.098,15.6744
320.099,15.6584
321.099,15.6423
322.099,15.6266
323.099,15.6104
324.099,15.5934
325.098,15.5765
326.099,15.5607
327.099,15.5444
328.098,15.5278
329.098,15.5129
330.098,15.4972
331.098,15.4821
332.098,15.4662
333.099,15.4485
334.098,15.4341
335.099,15.4174
336.099,15.4012
337.099,15.3857
338.099,15.3693
339.099,15.3535
340.099,15.3379
341.099,15.3224
342.099,15.3065
343.099,15.2923
344.098,15.2765
345.098,15.2605
346.098,15.2451
347.098,15.2297
348.098,15.2147
349.098,15.1987
350.098,15.1823
351.099,15.1662
352.099,15.1513
353.099,15.1343
354.098,15.1173
355.098,15.1013
356.098,15.0857
357.099,15.0689
358.099,15.0525
359.099,15.0361
360.099,15.0206
361.099,15.0052
362.098,14.9889
363.099,14.9719
364.098,14.9562
365.098,14.9416
366.099,14.9258
367.099,14.9104
368.098,14.8949
369.099,14.8785
370.098,14.8641
371.098,14.8483
372.098,14.8331
373.099,14.818
374.098,14.8039
375.098,14.7896
376.098,14.7744
377.098,14.7603
378.099,14.7397
379.098,14.7227
380.098,14.7142
381.099,14.7
382.099,14.6848
383.098,14.6702
384.099,14.6549
385.098,14.6388
386.098,14.6228
387.099,14.6061
388.098,14.5916
389.098,14.5775
390.099,14.5624
391.099,14.5485
392.098,14.5321
393.098,14.518
394.099,14.5038
395.099,14.489
396.098,14.4743
