t,u
397.098,14.4598
398.099,14.4448
399.098,14.4285
400.098,14.4128
401.099,14.3981
402.098,14.3827
403.098,14.3546
404.098,14.3507
405.099,14.3356
406.099,14.3206
407.099,14.3052
408.099,14.2909
409.099,14.2765
410.098,14.2613
411.098,14.2478
412.098,14.2323
413.098,14.2164
414.098,14.2022
415.099,14.189
416.099,14.1748
417.099,14.1615
418.099,14.1482
419.099,14.1337
420.098,14.1199
421.098,14.1066
422.098,14.0917
423.099,14.0769
424.099,14.0636
425.098,14.0501
426.099,14.0347
427.098,14.0205
428.098,14.0061
429.099,13.992
430.099,13.9794
431.098,13.965
432.099,13.9508
433.098,13.9355
434.099,13.9202
435.098,13.906
436.099,13.8908
437.098,13.8763
438.098,13.8619
439.099,13.8479
440.098,13.8341
441.099,13.8187
442.098,13.8028
443.099,13.7876
444.098,13.7737
445.098,13.7588
446.099,13.7442
447.098,13.7286
448.099,13.7138
449.099,13.7001
450.098,13.6862
451.098,13.6709
452.098,13.6575
453.099,13.6445
454.098,13.6302
455.098,13.6163
456.099,13.6017
457.098,13.587
458.098,13.5741
459.099,13.5608
460.098,13.5449
461.098,13.533
462.099,13.5154
463.098,13.5022
464.098,13.4888
465.099,13.4743
466.098,13.4611
467.099,13.4478
468.098,13.4358
469.098,13.4203
470.099,13.4067
471.098,13.3936
472.098,13.3808
473.099,13.3663
474.098,13.3538
475.099,13.3397
476.098,13.3243
477.098,13.3071
478.099,13.2988
479.099,13.2859
480.098,13.2712
481.098,13.2587
482.098,13.2438
483.098,13.2296
484.099,13.2134
485.098,13.1994
486.098,13.1858
487.098,13.173
488.098,13.1587
489.098,13.1456
490.099,13.1319
491.099,13.1179
492.098,13.1058
493.098,13.0923
494.098,13.0798
495.099,13.0648
496.099,13.0509
497.098,13.0361
498.099,13.023
499.099,13.0086
500.098,12.995
501.098,12.9812
502.098,12.968
503.098,12.955
504.098,12.9416
505.098,12.929
506.099,12.9148
507.099,12.9018
508.099,12.8879
509.099,12.8748
510.098,12.8609
511.099,12.847
512.098,12.8332
513.098,12.8197
514.098,12.8058
515.098,12.7925
516.099,12.7779
517.099,12.7647
518.099,12.7518
519.098,12.7396
520.098,12.7276
521.098,12.7151
522.098,12.7026
523.098,12.689
524.099,12.6755
525.099,12.6617
526.099,12.6482
527.099,12.6362
528.099,12.6236
529.098,12.6116
530.098,12.5983
531.098,12.586
532.099,12.5729
533.099,12.5589
534.098,12.5468
535.098,12.5342
536.098,12.5212
537.098,12.5109
538.099,12.4985
539.099,12.4863
540.098,12.4716
541.098,12.4568
542.098,12.3982
543.098,12.3887
544.098,12.376
545.098,12.3616
546.098,12.3483
547.098,12.3357
548.098,12.3217
549.099,12.309
550.099,12.2965
551.099,12.2844
552.099,12.27
553.099,12.2576
554.099,12.2483
555.099,12.2345
556.098,12.222
557.098,12.2085
558.098,12.1954
559.098,12.1845
560.099,12.1716
561.098,12.1561
562.098,12.1425
563.099,12.1296
564.099,12.1176
565.098,12.1084
566.098,12.0964
567.098,12.0933
568.098,12.0693
569.099,12.0551
570.098,12.0436
571.099,12.0302
572.098,12.019
573.099,12.0064
