p,a,b,q
166.60,	27.31,	5.00,	21.58
209.72,	33.79,	7.00,	24.42
241.08,	35.63,	8.00,	26.47
278.32,	32.85,	8.00,	28.71
309.68,	34.77,	9.00,	30.52
333.20,	33.27,	9.00,	31.89
