p,a,b,q
186.20,	49.37,	5.00,	11.94
241.08,	45.13,	5.00,	13.06
282.24,	42.18,	5.00,	13.97
331.24,	39.50,	5.00,	14.92
362.60,	38.05,	5.00,	15.49
386.12,	36.74,	5.00,	16.04
431.20,	34.52,	5.00,	17.08
484.12,	32.51,	5.00,	18.13
