p,a,b,q
209.72,	39.87,	5.00,	14.78
233.24,	37.86,	5.00,	15.57
290.08,	34.43,	5.00,	17.12
301.84,	33.83,	5.00,	17.42
329.28,	32.29,	5.00,	18.25
372.40,	30.38,	5.00,	19.40
399.84,	29.37,	5.00,	20.07
425.32,	28.80,	5.00,	20.47
