N,p,t,v,q
14,	27.44,	37.46,	2.00,	6.29
18,	35.28,	28.92,	2.00,	8.15
24,	47.04,	32.66,	3.00,	10.83
33,	64.68,	33.18,	4.00,	14.21
37,	72.52,	38.10,	5.00,	15.47
42,	82.32,	36.34,	5.00,	16.22
85,	166.60,	27.31,	5.00,	21.58
107,	209.72,	33.79,	7.00,	24.42
123,	241.08,	35.63,	8.00,	26.47
142,	278.32,	32.85,	8.00,	28.71
158,	309.68,	34.77,	9.00,	30.52
170,	333.20,	33.27,	9.00,	31.89
