iter	Logloss
0	0.6767825572
1	0.6603592708
2	0.647991637
3	0.6332510141
4	0.6208773416
5	0.6081607976
6	0.5982943598
7	0.5891618729
8	0.5793141536
9	0.5685306075
10	0.5579485925
11	0.5490337735
12	0.5406014458
13	0.5320021424
14	0.5248152057
15	0.5184699283
16	0.5126175168
17	0.5065520065
18	0.5018073974
19	0.4974977313
20	0.4926256676
21	0.4877184912
22	0.4836093716
23	0.4797810101
24	0.4763018513
25	0.4728617241
26	0.469585033
27	0.466364964
28	0.4634198195
29	0.460501827
30	0.4580134444
31	0.455978866
32	0.4539428898
33	0.4517666312
34	0.4493437052
35	0.44753291
36	0.4455509566
37	0.4446515065
38	0.4432792016
39	0.4416804175
40	0.4402727422
41	0.4388682388
42	0.4374365171
43	0.4361527599
44	0.4352336623
45	0.4341313841
46	0.4329156399
47	0.4317671756
48	0.4307187949
49	0.4297252813
50	0.4287541382
51	0.4278230417
52	0.4270122862
53	0.4263624063
54	0.4255415998
55	0.4249893022
56	0.4242392834
57	0.4235430643
58	0.4228393415
59	0.4222276184
60	0.4216650075
61	0.4211712465
62	0.4205686924
63	0.4199773285
64	0.4193707796
65	0.4189239266
66	0.4183978648
67	0.4179994416
68	0.4175839295
69	0.4171716887
70	0.4169394172
71	0.4164702351
72	0.4161203344
73	0.4157484466
74	0.4154910352
75	0.4150194348
76	0.4149284669
77	0.4148235687
78	0.4144473389
79	0.4141440766
80	0.4137745047
81	0.4134583084
82	0.4129935815
83	0.412467541
84	0.4122287256
85	0.411926703
86	0.4116851012
87	0.4114553353
88	0.4109834994
89	0.4109045501
90	0.4107636718
91	0.410354755
92	0.4102890577
93	0.4100135366
94	0.4097556403
95	0.4096205196
96	0.4092073492
97	0.4091561556
98	0.4088675804
99	0.408688164
100	0.4086045786
101	0.4085142523
102	0.4081787808
103	0.4080639205
104	0.4077700237
105	0.4076864301
106	0.4076469203
107	0.4075134137
108	0.4074462497
109	0.4071722884
110	0.4071513327
111	0.4069131139
112	0.4066926675
113	0.4065834089
114	0.4064940787
115	0.4061574253
116	0.4059861084
117	0.4058856835
118	0.4056416255
119	0.4054859132
120	0.4053338764
121	0.4050677915
122	0.4049636512
123	0.4048222527
124	0.4046646961
125	0.4045490734
126	0.4043552885
127	0.4041625067
128	0.4041327776
129	0.4040804251
130	0.4039284979
131	0.4037462422
132	0.4036310183
133	0.4035348477
134	0.4034058757
135	0.4032911428
136	0.4032310112
137	0.4030360175
138	0.4029454446
139	0.4028667395
140	0.4026985617
141	0.4025091976
142	0.4024345023
143	0.4023828397
144	0.4022313276
145	0.4021469141
146	0.4020086585
147	0.4018781763
148	0.4017635407
149	0.4017213824
150	0.4015695144
151	0.4015611456
152	0.4014519027
153	0.4014309609
154	0.4012964403
155	0.4012000505
156	0.4011388661
157	0.4011108662
158	0.4010754479
159	0.400988748
160	0.4008162899
161	0.4006876149
162	0.400507964
163	0.4004051432
164	0.4002712073
165	0.4001790168
166	0.4000779366
167	0.4000216859
168	0.3999852401
169	0.3999048287
170	0.3998335523
171	0.3997479525
172	0.3997150347
173	0.3996746037
174	0.3996091202
175	0.3995051472
176	0.3994676284
177	0.3994425551
178	0.3993830478
179	0.3993292133
180	0.3992646692
181	0.399229181
182	0.3990827513
183	0.3990365035
184	0.3989318378
185	0.398873471
186	0.3988164105
187	0.3987138454
188	0.398623168
189	0.3985774904
190	0.3985256907
191	0.3985082861
192	0.3984586952
193	0.3984117985
194	0.3983538884
195	0.3982845849
196	0.3982011136
197	0.3981899228
198	0.3981208069
199	0.398027199
200	0.3978622575
201	0.3977752292
202	0.3976587719
203	0.3975844804
204	0.3975813271
205	0.39754009
206	0.397500283
207	0.3974130816
208	0.3974001889
209	0.3973330801
210	0.397291697
211	0.3972540019
212	0.3971823775
213	0.3971205955
214	0.3970233595
215	0.3969536331
216	0.3969191871
217	0.396881911
218	0.3968108017
219	0.3967202701
220	0.3966467014
221	0.3966139109
222	0.3964671532
223	0.3964195733
224	0.3963613963
225	0.3962047454
226	0.3961688078
227	0.3961104625
228	0.3960758701
229	0.3960377447
230	0.3960078593
231	0.3959525191
232	0.3959525176
233	0.3959417798
234	0.3959005113
235	0.3958746421
236	0.3958134763
237	0.395711265
238	0.3956247575
239	0.3955907445
240	0.3955082651
241	0.3954962457
242	0.3954924244
243	0.3954420212
244	0.3952401793
245	0.3952206358
246	0.3951486797
247	0.3951334568
248	0.3950464466
249	0.3949948492
250	0.3949321513
251	0.3949105535
252	0.3948819577
253	0.3948197243
254	0.3947337313
255	0.3946976238
256	0.394630902
257	0.3945212771
258	0.3944318611
259	0.3943762785
260	0.3943330531
261	0.3943124317
262	0.39429147
263	0.3942483322
264	0.3942018551
265	0.394096878
266	0.393979173
267	0.3939000156
268	0.3937625725
269	0.3937278641
270	0.3936283676
271	0.3936223754
272	0.3934863034
273	0.3932811549
274	0.3931973553
275	0.3931007643
276	0.3930364331
277	0.3929529158
278	0.3929014522
279	0.3928547568
280	0.3927175941
281	0.3926318425
282	0.3925912542
283	0.392558221
284	0.392474335
285	0.3924252103
286	0.3923666084
287	0.3922917741
288	0.3922816874
289	0.3922816772
290	0.3922239037
291	0.3921735092
292	0.3920554612
293	0.3920058174
294	0.3919149345
295	0.3918850953
296	0.3918579862
297	0.3917907939
298	0.3917700171
299	0.3917273644
